,Title,Published_date,Views,Likes,Comments,Month
0,"LeBlanc SHOULD be resplendent, but she looks revolting || Casual Champion Review",2024-07-05,23657,1687,129,Jul
1,Aurora reads more like someone's OC than an official Champion || Casual Champion Review,2024-06-28,86557,4651,796,Jun
2,Rapid-Fire Skin Review: Rain Shepherd,2024-06-26,89706,9507,461,Jun
3,"Kog'Maw has no personality, so the community invented one for him || Casual Champion Review",2024-06-21,28137,2050,99,Jun
4,Kled and Skaarl are the pinnacle of perfectly realized thematic potential || Casual Champion Review,2024-06-14,39957,2990,246,Jun
5,Rapid-Fire Skin Review: Immortalized Legend Ahri,2024-06-12,184885,11303,929,Jun
6,Kindred are trapped in a game that cannot actualize their excellence || Casual Champion Review,2024-06-07,42276,2868,419,Jun
7,Kha'Zix's basic bugyness is BRIMMING with potential || Casual Champion Review,2024-05-31,32829,2097,157,May
8,Rapid-Fire Skin Review: Infernal,2024-05-30,85955,6616,212,May
9,League of Legends JEOPARDY but all the Questions are Rigged,2024-05-26,298082,27089,526,May
10,"Kennen has been forgotten by Riot, both in game and in lore || Casual Champion Review",2024-05-24,26591,1748,89,May
11,Kayn is fine... BUT RHAAST IS FLAWLESS || Casual Champion Review,2024-05-17,47651,2853,202,May
12,Rapid-Fire Skin Review: Faerie Court 2024,2024-05-15,95970,7224,227,May
13,Kayle was better before the rework || Casual Champion Review,2024-05-10,32662,2168,243,May
14,Katarina infuriates me beyond reasonable measure || Casual Champion Review,2024-05-03,33244,2441,449,May
15,Rapid-Fire Skin Review: Empyrean,2024-05-01,114660,7113,269,May
16,Kassadin could be so much more than just bootleg Darth Vader || Casual Champion Review,2024-04-26,22856,1685,124,Apr
17,Karthus is a near perfect opposite of Thresh || Casual Champion Review,2024-04-19,31164,2089,144,Apr
18,Rapid-Fire Skin Review: Blood Moon 2024,2024-04-17,101895,6998,140,Apr
19,DON'T SAY IT DON'T EVEN THINK IT,2024-04-15,62620,6542,286,Apr
20,Karma is a marvellous idea taped to a mediocre character || Casual Champion Review,2024-04-12,27255,1829,122,Apr
21,₣ⱤØ₲ ₲Ɽ₳VɆ₴,2024-04-08,57881,5518,197,Apr
22,Kalista's gameplay is the one thing holding her back from perfection || Casual Champion Review,2024-04-05,30365,2096,131,Apr
23,Rapid-Fire Skin Review: April Fools,2024-04-03,147704,10951,208,Apr
24,The DEFINITIVE LoL Smash or Pass TIER LIST,2024-04-01,130446,8868,370,Apr
25,Kai'sa might just be the worst champion ever added to League || Casual Champion Review,2024-03-29,50690,3252,410,Mar
26,Skarner was too unpopular to be this important || Casual Champion Review,2024-03-22,66042,3604,250,Mar
27,Rapid-Fire Skin Review: High Noon 2024,2024-03-20,147357,10864,369,Mar
28,NickyBoi Reacts to SKARNER'S FULL VGU REVEAL,2024-03-18,142637,8408,235,Mar
29,Ranking all of the LoR EXCLUSIVE SKINS,2024-03-17,142764,7979,255,Mar
30,K'Sante has sadly only soured over time || Casual Champion Review,2024-03-15,46583,2801,216,Mar
31,Ranking all the LoR LEVEL UP ANIMATIONS (ft. @Snnuy),2024-03-10,239223,10168,456,Mar
32,Jinx makes for a PERFECT mascot || Casual Champion Review,2024-03-08,35251,2502,95,Mar
33,Rapid-Fire Skin Review: PROJECT 2024,2024-03-06,106991,6962,315,Mar
34,Riot refuses to rework Cassiopeia... so I did it for them,2024-03-03,547866,49901,3473,Mar
35,"Jhin is PERFECT, don't even try to deny it || Casual Champion Review",2024-03-01,41116,3165,252,Mar
36,Jayce has one of the most pathetic character arcs in history || Casual Champion Review,2024-02-23,32765,2053,138,Feb
37,Rapid-Fire Skin Review: Porcelain,2024-02-21,126110,7888,255,Feb
38,Jax doesn't deserve to have such an awful reputation || Casual Champion Review,2024-02-16,43805,2666,253,Feb
39,Jarvan IV doesn't look like he even belongs to the kingdom he rules over || Casual Champion Review,2024-02-09,38842,2235,192,Feb
40,Rapid-Fire Skin Review: Heavenscale,2024-02-07,137628,8108,374,Feb
41,Janna is so much better in LoR it's LAUGHABLE || Casual Champion Review,2024-02-02,33093,2065,116,Feb
42,The Top 10 BEST League Skins of 2023,2024-01-28,167505,10694,267,Jan
